none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
UI_Wheel_Remaining_times,Remaining Times:,,,,,,,,,Tempos restantes:,
UI_Wheel_win,What can you win?,,,,,,,,,What can you win?,
UI_Wheel_Regra,Rule:,,,,,,,,,Regra:,
UI_Wheel_txt1,"1、Every bet amount of 5,000 wins 1 spin, up to 50 times a day.",,,,,,,,,"1、Cada valor de aposta de 5.000 ganha 1 rodada, até 50 vezes por dia.",
UI_Wheel_txt2,2、Rotation is valid only on that day.,,,,,,,,,2、A rotação é válida apenas nesse dia.,
UI_Wheel_txt3,3、Terms of Withdrawal: Valid Bet = Bonus * 2.,,,,,,,,,3、Termos de retirada: Aposta válida = Bônus * 2.,
UI_Wheel_Registro,Registro,,,,,,,,,Registro,
UI_Wheel_txt4,Congratulations! You've won the prize! Play games and win more bonus now,,,,,,,,,Parabéns! Você ganhou o prêmio! Jogue e ganhe mais bônus agora,
UI_Wheel_HelpTit1,Accumulated recharge amount of players,,,,,,,,,Quantidade de recarga acumulada de jogadores,
UI_Wheel_HelpTit2,Today's player recharge amount,,,,,,,,,Quantidade de recarga do jogador de hoje,
UI_Wheel_HelpTit3,Yesterday's player recharge amount,,,,,,,,,Yesterday's player recharge amount,
UI_Wheel_Helptxt1,Accumulated recharge amount,,,,,,,,,Quantidade de recarga acumulada,
UI_Wheel_Helptxt3,Number of spins,,,,,,,,,Número de giros,
UI_Wheel_Helptxt2,Recharge amount,,,,,,,,,Valor da recarga,
UI_Cash_BankCard,Bank Card,,,,,,,,,Bank Card,
UI_Cash_GCASH,GCASH,,,,,,,,,GCASH,
UI_Cash_InputProvince,Input Province,,,,,,,,,Input Province,
UI_Cash_InputCity,Input City,,,,,,,,,Input City,
UI_Cash_InputNumber,Input Number,,,,,,,,,Input Number,
UI_Cash_InputMayaNumber,Input Maya Phone Number,,,,,,,,,Insira o número de telefone do Maya,
UI_Cash_StarColor_Province,<b><color=#59677C>Province</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Province</color><color=#ff0000>*</color></b>,
UI_Cash_TitleBankNameGCash,Bank name/Gcash/PayMaya Philippines,,,,,,,,,Bank name/Gcash/PayMaya Philippines,
UI_Cash_StarColor_City,<b><color=#59677C>City</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>City</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_Number,<b><color=#59677C>Gcash ACC</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Gcash ACC</color><color=#ff0000>*</color></b>,
UI_Finish,Done,,,,,,,,,OK,
UI_LimitTitle,This game is not available in your country.,,,,,,,,,Este jogo não está disponível em seu país.,
UI_Due_to,"Due to licensing regulation laws,we cannot offer our services to you.",,,,,,,,,"Devido às leis de regulamentação de licenciamento, não podemos oferecer nossos serviços a você.",
UI_Not_region,Not in a restricted region?,,,,,,,,,TermNão está em uma região restrita?inar,
UI_USING_VPN,"If you're using aproxy service or VPN to access,try turning it off and reload the page.",,,,,,,,,"Se você estiver usando um serviço de proxy ou VPN para acessar, tente desligá-lo e recarregar a página.",
UI_Contact_Support,Refresh,,,,,,,,,Atualizar,
UI_Contact_Customer_Service,Contact Support,,,,,,,,,Contate o Suporte,
UI_Server_maintenance,"Network connection failed, please contact customer service",,,,,,,,,"Falha na conexão de rede, entre em contato com o atendimento ao cliente",
UI_Shop_Red_explain,"Redemption codes will be issued through events from time to time, please pay attention to the announcement in the official group",,,,,,,,,"Os códigos de resgate serão emitidos através de eventos de tempos em tempos, preste atenção ao anúncio no grupo oficial",
UI_Shop_Red_PleaseEnter,Please enter the redeem code,,,,,,,,,"Por favor, insira o código de resgate",
UI_Shop_Red_Redpackets,Redeem Code,,,,,,,,,Resgatar código,
UI_Contact_customer,Contact Customer Service,,,,,,,,,Entre em contato com o Atendimento ao Cliente,
UI_Beneficiary_Name,Beneficiary Name,,,,,,,,,Nome Beneficiário,
UI_Cash_InputBeneficiaryName,input Beneficiary Name,,,,,,,,,input Beneficiary Name,
UI_Hall_FeatureDevelopment,This feature is under development,,,,,,,,,Este recurso está em desenvolvimento,
UI_In-HouseBonus,In-House Bonus,,,,,,,,,Bônus da Casa,
UI_Hall_Played,Recent,,,,,,,,,Recente,
UI_ExternGame,Are you sure you want to leave the game and return to the lobby?,,,,,,,,,Tem certeza de que deseja sair do jogo e retornar ao lobby?,
UI_SlotBonus,Slot Bonus,,,,,,,,,Bônus de slot,
UI_LiveBonus,Live Bonus,,,,,,,,,Bônus ao vivo,
UI_Sports_Bonus,Sports Bonus,,,,,,,,,Bônus esportivo,
UI_TotalBonus,Total Bonus,,,,,,,,,Bônus Total,
UI_Total,Total,,,,,,,,,Total,
UI_Totalearned,Total earned,,,,,,,,,Total ganho,
Bao_Dian_Save_Settings,Save Settings ,,,,,,,,,Guardar definições,
Bao_Dian_Auto_Play,Auto Play,,,,,,,,,Auto configuração,
UI_Dice_Prediction,PREDICTION,,,,,,,,,PREDIÇÃO,
UI_Dice_LuckyNumber,Result,,,,,,,,,Resultado,
UI_Dice_ROLLUNDER,ROLL UNDER,,,,,,,,,ROLAR POR BAIXO,
UI_Dice_ROLLOVER,ROLL OVER,,,,,,,,,ROLAR SOBRE,
UI_Dice_BetNumber,Bet Number,,,,,,,,,Número da aposta,
UI_Dice_Help_Profitwin,Profit on win,,,,,,,,,Lucro na vitória,
UI_Dice_Help_Hint,"Place a bet and predict a Lucky number by controlling the slider. Choose ""Roll over"" or ""Roll under"" the chosen number",,,,,,,,,"Faça uma aposta e preveja um número da sorte controlando o controle deslizante. Escolha ""Roll over"" ou ""Roll under"" o número escolhido",
UI_Dice_Help_Hint2,"Random number generator will choose the winning number from 0 to 99. If the lucky number is the chosen range,you win!",,,,,,,,,"O gerador de números aleatórios escolherá o número vencedor de 0 a 99. Se o número da sorte for o intervalo escolhido,você ganha!",
UI_Dice_RecordTitile,Previous Rolls,,,,,,,,,Rolos anteriores,
UI_Dice_Help_NumGold,1 Gold,,,,,,,,,1 ouro,
UI_Judge_ClickOnTheToolbar,Click on the toolbar below,,,,,,,,,Clique na barra de ferramentas abaixo,
UI_Judge_AndSelect,and select,,,,,,,,,e selecione,
UI_InsufficientGold,Insufficient gold coins!,,,,,,,,,Moedas de ouro insuficientes!,
UI_Judge_AddToHome,"""Add to Home Screen""",,,,,,,,,"""Adicionar à tela de inicial""",
UI_Dice_Add_to_Home_Screen,Add to Home Screen,,,,,,,,,Adicionar à tela inicial,
UI_UpgradeNextLvRichText,"<color=#ffffff>To upgrade to </c><color=#ffe71d>{VIPLV}</color>,you need to recharge <color=#ffe71d>{MINRECHARGE}</color> and <color=#ffe71d>{MINBET}</color> bet amount.",,,,,,,,,"<color=#ffffff>Para atualizar para </c><color=#ffe71d>{VIPLV}</color>, você precisa recarregar <color=#ffe71d>{MINRECHARGE}</color> e <color=#ffe71d >{MINBET}</color> suma aposta.",
UI_Get_it_later,Get it later,,,,,,,,,Pegar depois,
UI_GameIcon,Maintaining,,,,,,,,,Manutenção,
UI_Free_trial,Free trial,,,,,,,,,Teste grátis,
UI_Try_it_for_free,Try it for free,,,,,,,,,Experimente Grátis,
UI_Official_game,Cash Game,,,,,,,,,Jogo a dinheiro,
UI_Confirme,Continue,,,,,,,,,Continuar,
UI_FreeNotice,"Feel free to practicehere and try our hotestdemos, enjoy!",,,,,,,,,"Sinta-se livre para praticar e experimentar nossos hotestdemos, aproveite!",
UI_FreeInFreeGameNotice,"We have hundreds of mainstream and fun games
We can go to the experience field to experience our games",,,,,,,,,"Temos centenas de jogos principais e divertidos
Podemos ir ao campo de experiência para experimentar nossos jogos",
UI_FreeInFreeEnterGame,Continue,,,,,,,,,Continuar,
UI_FreeInFreeEnterFreeGame,Try it for free,,,,,,,,,teste gratuito,
UI_Guide_text,Go to the Teste gratuito,,,,,,,,,Vá para o Teste Gratuito,
UI_Guide_text1,Insufficient gold coins and need to recharge? Or go to the experience field to play for free,,,,,,,,,Moedas de ouro insuficientes e precisa recarregar? Ou vá para o campo de experiência para jogar de graça,
UI_Guide_text2,"You have already experienced the experience field game,whether to go to the gold field",,,,,,,,,"Você já experimentou o jogo de campo de experiência, seja para ir ao campo de ouro",
UI_Guide_text3,Go,,,,,,,,,Vai,
UI_Guide_text4,"Insufficient gold coins, go to the recharge mall to get more gold coins",,,,,,,,,"Moedas de ouro insuficientes, vá ao shopping de recarga para obter mais moedas de ouro",
UI_GoogleLoginHint,Click to log in with your Google account,,,,,,,,,Clique para fazer login com sua conta do Google,
UI_GoogleLoginHintUpVersion,Google login needs to download the new version,,,,,,,,,O login do Google precisa fazer o download da nova versão,
UI_ShareReceiveAgentGold,The chips transferred to the account can be played directly. Are you sure about the transfer?,,,,,,,,,As fichas transferidas para a conta podem ser jogadas diretamente. Tem certeza sobre a transferência?,
UI_PromoteRegras,Commission Model and Rules,,,,,,,,,Modelo e Regras da Comissão,
UI_Invitational_Achievement_Award,Invitational Achievement Award,,,,,,,,,Prêmio de realização por convite,
UI_PromoteMeberAllLevel,All Refer Level,,,,,,,,,All Refer Level,
UI_PromoteInviteFriends,Invite your friends to join and you will receive great rewards,,,,,,,,,Convide seus amigos para participar e você receberá grandes recompensas,
UI_PromoteDelayCommission,"Commission settlement will take a while, please be patient",,,,,,,,,"A liquidação da comissão vai demorar um pouco, por favor, seja paciente",
UI_Promote_Proxy_Tips,"Hello agent, your income has been included in the agency system, please log in to the system to view or contact your manager",,,,,,,,,"Olá agente, sua renda foi incluída no sistema da agência, faça login no sistema para visualizar ou entrar em contato com seu gerente",
UI_Share_InvitesBonus,Invitation bonus,,,,,,,,,Bônus de convite,
UI_Share_Numberofinvites,Number of invites,,,,,,,,,Número de convites,
UI_Withdraw_Recod,Record,,,,,,,,,Registro,
UI_Withdraw_ID,ID,,,,,,,,,ID,
UI_Withdraw_Amount,Amount,,,,,,,,,Quantia,
UI_Withdraw_Times,Time,,,,,,,,,Hora,
UI_Withdraw_Staus,Status,,,,,,,,,Status,
UI_Withdraw_Details,Details,,,,,,,,,Detalhes,
UI_Account_BetCoefficient,Bet Coefficient,,,,,,,,,Coeficiente da aposta,
UI_Account_Coefficient,Coefficient,,,,,,,,,Coeficiente,
UI_Account_POP1,Edit Phone Number,,,,,,,,,Editar número de telefone,
UI_Account_POP2,Edit Email,,,,,,,,,Editar e-mail,
UI_Account_POP_Mail1,New Email,,,,,,,,,Novo Email,
UI_Account_POP_Mail,Enter email verification code,,,,,,,,,Insira o código de verificação de e-mail,
UI_Account_POP3,Change Password,,,,,,,,,Mudar senha,
UI_Account_POP4,Create account,,,,,,,,,Criar Conta,
UI_Account_POP5,Current Password,,,,,,,,,Senha atual,
UI_Account_POP6,Bind Phone,,,,,,,,,Ligar telefone,
UI_Account_POP7,Bind Email,,,,,,,,,Vincular e-mail,
UI_Account_POP8,Change Password,,,,,,,,,Alterar a senha,
UI_Account_Top1,My Info,,,,,,,,,Minha informação,
UI_Account_Top2,My Account,,,,,,,,,Minha conta,
UI_Account_Info1,Bind,,,,,,,,,Ligar,
UI_Account_Info2,All Ranks,,,,,,,,,Todos os Rank,
UI_Account_Info3,Mobile Number,,,,,,,,,Número móvel,
UI_Account_Info4,verified,,,,,,,,,verificado,
UI_Account_Info5,Unbound,,,,,,,,,Não vinculado,
UI_Account_Info6,Unbound,,,,,,,,,Não vinculado,
UI_Account_Info7,My Email,,,,,,,,,Meu email,
UI_Account_Info8,My Birthday,,,,,,,,,Meu aniversário,
UI_Edit_my_birthday,Edit my birthday,,,,,,,,,Modificar meu aniversário,
UI_Not_filled,Unconfirmed,,,,,,,,,Não confirmado,
UI_Filled,Confirmed,,,,,,,,,Confirmado,
UI_Account_Setting,Account Setting,,,,,,,,,Account Setting,
UI_RealMode,Real Play,,,,,,,,,Jogo Real,
UI_FunMode,Free Play,,,,,,,,,Jogo grátis,
UI_carreguemais,Load more,,,,,,,,,carregue  mais,
UI_RecommendedGames,Top game,,,,,,,,,Melhores jogos,
UI_ChangePassword1,Password input is blank,,,,,,,,,A entrada de senha está em branco,
UI_ChangePassword2,New password cannot be the same as old password,,,,,,,,,A nova senha não pode ser igual à senha antiga,
UI_ChangePassword3,The two passwords you typed do not match,,,,,,,,,As senhas digitadas não coincidem,
UI_BindEmail1,Missing mailbox verification code,,,,,,,,,Código de verificação da caixa postal ausente,
UI_BindPhone1,Mobile phone verification code is empty,,,,,,,,,O código de verificação do celular está vazio,
UI_Bind_the_email,Set up email to access your account anytime and use it to log in from any device,,,,,,,,,Configure o e-mail para acessar sua conta a qualquer momento e use este e-mail para fazer login de qualquer dispositivo,
UI_Bind_the_phone,Set up a mobile number to access your account anytime and use it to log in from any device,,,,,,,,,Configure um número de celular para acessar sua conta a qualquer momento e use-o para fazer login de qualquer dispositivo,
UI_Modify_password,"The length of the entered password must be 6~16 digits,and both numbers and letters are acceptable.",,,,,,,,,"O comprimento da senha inserida deve ser de 6 a 16 dígitos, e números e letras são aceitáveis.",
UI_GoVipReceiveAwardHint,"You have VIP reward, please go to claim it",,,,,,,,,"Você tem recompensa VIP, por favor, vá para reivindicá-la",
SC_System_ullegalNickName, Illegal nickname,,,,,,,,, Apelido ilegal,
UI_Download_Tips,Please use the Safari browser that comes with your phone to download the APP,,,,,,,,,"Por favor, use o navegador Safari que vem com seu telefone para baixar o APP",
UI_GragonTiger_helpPlaceYour,Place your bets,,,,,,,,,Faça suas apostas,
UI_GragonTigerhelp_Dragon,DRAGON,,,,,,,,,DRAGON,
UI_GragonTigerhelp_Tiger,TIGER,,,,,,,,,TIGER,
UI_GragonTigerhelp_wait,Please wait for next round to start...,,,,,,,,,Aguarde o início da próxima rodada...,
UI_GragonTigerhelp_Tie,TIE,,,,,,,,,TIE,
UI_Store_warning,No channel,,,,,,,,,Nenhum canal,
UI_GragonTigerWin,Win,,,,,,,,,Win,
UI_CashOut_Actual_USDT,Actual payment S{gold} USDT,,,,,,,,,Pagamento real S{gold} USDT,
UI_GragonTigerLose,Lose,,,,,,,,,Lose,
UI_GragonTigerhelp_SuitedTie,SUITED TIE,,,,,,,,,SUITED TIE,
UI_GragonTigerhelp_ClickTheBetHint,"Click the bet area to complete the bet. After the bet time is over, the card will be opened, and the bigger card will win",,,,,,,,,"Clique na área de aposta para completar a aposta. Após o tempo de aposta terminar, o cartão será aberto e o cartão maior ganhará",
UI_GragonTigerhelp_Thecoreof,"The core of Dragon Tiger is to compare the size.The order of cards from small to large is A, 2, 3, 4, 5, 6, 7, 8, 9, 10, J, Q, K",,,,,,,,,"O núcleo do Dragon Tiger é comparar o tamanho. A ordem dos cartões, de pequeno a grande, é A, 2, 3, 4, 5, 6, 7, 8,9, 10, J, Q, K",
UI_GragonTigerhelp_Anular,ANULAR,,,,,,,,,ANULAR,
UI_GragonTigerhelp_Dobrar,DOBRAR,,,,,,,,,DOBRAR,
UI_GragonTigerhelp_TopUp,TOPUP,,,,,,,,,RECARGA,
UI_GragonTigerhelp_ReturnAndDouble,"Choose the bet amount or chips to bet, the bet amount will affect the final income",,,,,,,,,"Escolha o valor da aposta ou fichas para apostar, o valor da aposta afetará o resultado final",
UI_GragonTigerhelp_WhentheNumber,"When the number is the same but the style is different, the player who bets ""TIE"" wins",,,,,,,,,"Quando o número é o mesmo, mas o estilo é diferente, o jogador que apostar ""EMPATE"" vence",
UI_GragonTigerhelp_Whenthesame,"When the same number has the same decor, the player who bets ""SUTTED TIE"" wins",,,,,,,,,"Quando o mesmo número tem a mesma decoração, o jogador que apostar ""SUTTED TIE"" ganha",
UI_GragonTigerhelp_Randomnumber,"The odds of ""DRAGON"" and ""TIGER"" are both 1:1The odds of ""TIE"" are: 11:1The odds ratio of ""SUTTED TIE"" is: 50:1",,,,,,,,,"As probabilidades de ""DRAGON"" e ""TIGER"" são ambas de 1:1As chances de ""TIE"" são: 11:1A razão de chances de ""SUTTED TIE"" é: 50:1",
UI.PromotionLastMonth,Last Month,,,,,,,,,Mês passado,
UI.PromotionDirectCommission,Direct Commission,,,,,,,,,Comissão direta,
UI.PromotionNumBerofTeam,Number of Team members,,,,,,,,,Número de membros da equipe,
UI.PromotionNumCWithdrawal,Commission Withdrawal,,,,,,,,,Retirada da Comissão,
UI.PromotionCommissionTransfer,Commission Transfer,,,,,,,,,Transferência de Comissão,
UI.PromotionBettingCommission,Betting Commission,,,,,,,,,Comissão de apostas,
UI.PromotionInvitationConquest,Invitation Conquest,,,,,,,,,Conquista de convite,
UI.PromotionHint,The data is the value that increases during the time interval,,,,,,,,,Os dados são o valor que aumenta durante o intervalo de tempo,
UI.StoreSelectChannel,Select a channel,,,,,,,,,Escolha um canal,
UI_SelectAPaymentMethod,Select a payment method,,,,,,,,,Escolha um método de pagamento,
UI.650GameBettingon,Betting on,,,,,,,,,Apostar em,
UI.650GamePeriod,Period,,,,,,,,,Desenhar,
UI.650GameWaiting,Waiting for lottery,,,,,,,,,Aguardando loteria,
UI.650GameDoubledisc,Deposit Amount,,,,,,,,,Valor do depósito,
UI.650GameWayfigure,Road,,,,,,,,,Figura da maneira,
UI.650GameLongDragon,Long Queue,,,,,,,,,Estrada,
UI.650GameBetSuccess,Success,,,,,,,,,Sucesso,
UI.650GameWin,- WIN -,,,,,,,,,- VENCER -,
UI.650GameTicketsBasket,Tickets Basket,,,,,,,,,Cesta Ingressos,
UI.650GameEmpty,Empty,,,,,,,,,Vazio,
UI.650GameTotalOf,A total of ,,,,,,,,,Um total de ,
UI.650GameOrders,Orders,,,,,,,,,Pedidos,
UI.650GameBalance,Balance,,,,,,,,,Equilíbrio,
UI.650GameBet,Bet,,,,,,,,,Mas,
UI.650GameWinLabel,Win,,,,,,,,,Ganhar,
UI.650GameBetConfirm,Bet Confirm,,,,,,,,,Confirmar Aposta,
UI.650GameBig,Big,,,,,,,,,Grande,
UI.650GameSmall,Small,,,,,,,,,Pequeno,
UI.650GameSingle,Single,,,,,,,,,Solteiro,
UI.650GameDouble,Double,,,,,,,,,Dobro,
UI.650GameID,ID,,,,,,,,,ID,
UI.650GameLotteryResult,Lottery Result,,,,,,,,,Resultado loteria,
UI.650GameBack,Back,,,,,,,,,De volta,
UI.650GameFullTrend,See the full trend,,,,,,,,,Veja toda a tendência,
UI.650GameConnectOut,Connect out,,,,,,,,,Conectar,
UI.650GameTimeLimit,time limit,,,,,,,,,limite tempo,
UI.650GameUnsettled,Unsettled,,,,,,,,,Indefinido,
UI.650GameSettled,Settled,,,,,,,,,Assentou,
UI.650GameAllDisplayed,All are displayed,,,,,,,,,Todos são exibidos,
UI.650GameNoWin,Lost,,,,,,,,,Perdido,
UI.650GameBetAmount,Bet amount: ,,,,,,,,,Valor aposta: ,
UI.650GameQuick,Quick,,,,,,,,,Rápido,
UI.650GamePick,Pick,,,,,,,,,Escolha,
UI.650GameReset,Reset,,,,,,,,,Redefinir,
UI.650GameRecent,Recent,,,,,,,,,Recente,
UI.650GameBasket,Basket,,,,,,,,,Cesta,
UI.650GameAdd,Add,,,,,,,,,Adicionar,
Msg.GameError-1,Unknown Error,,,,,,,,,Erro desconhecido,
Msg.GameError2,"Network connection error, bet failed",,,,,,,,,"Erro de conexão de rede, aposta falhou",
Msg.GameError3,The bet amount cannot be 0.,,,,,,,,,O valor da aposta não pode ser 0.,
Msg.GameError102,Your bet amount cannot be less than {S1} in this session,,,,,,,,,O valor da sua aposta não pode ser inferior a {S1} nesta sessão,
Msg.GameError103,Your bet amount cannot be higher than {S1} in this session,,,,,,,,,O valor da sua aposta não pode ser superior a {S1} nesta sessão,
UI.650GameEditAmount,Edit Amount,,,,,,,,,Editar valor,
UI.650GameWayBigOrSmall,Big or Small,,,,,,,,,Grande ou pequeno,
UI.650GameWaySingleOrDouble,Single or Double,,,,,,,,,Individual ou Duplo,
UI.650GameWayChampion,Champion,,,,,,,,,Campeão,
UI.650GameWayRunner-up,Runner-up,,,,,,,,,Vice-campeão,
UI.650GameWayThird,Third,,,,,,,,,Terceiro,
UI.650GameWayFourth,Fourth,,,,,,,,,Quarto,
UI.650GameWayFifth,Fifth,,,,,,,,,Quinto,
UI.650GameWaySixth,Sixth,,,,,,,,,Sexto,
UI.650GameWaySeventh,Seventh,,,,,,,,,Sétimo,
UI.650GameWayEighth,Eighth,,,,,,,,,Oitavo,
UI.650GameWayNinth,Ninth,,,,,,,,,Nono,
UI.650GameWayTenth,Tenth,,,,,,,,,Décimo,
UI.650GameSupport1,"Left selection mode: fast, single or even, single selection Guess the vehicle ranking on the right side. Guess the vehicle number size, odd or even, or specific number.Size: 1 to 5 is small and 6 to 10 is large.Odd and even: single number 1, 3, 5, 7, 9, and even number 2, 4, 6, 8, 10 Single Selection: Select a specific number for each ranking.",,,,,,,,,"Modo de seleção à esquerda: rápido, único duplo, seleção única O lado direito para adivinhar o lugar do veículo, para adivinhar a escolha do lugar do tamanho do número do veículo ou único ou duplo, ou especificamente vários números.Tamanho: 1~5 é ""pequeno"" 6~10 é ""grande""Único duplo: tamanho único 1, 3, 5, 7, 9, tamanho duplo 2, 4, 6, 8, 10 Seleção individual: seleção de números específicos para cada posição",
UI.650GameSupport2,"The reset button cancels the selected ranking and vehicle number. After selecting the ranking and number, choose the bet amount, 1~500 or a custom amount.Click ""Bet"" to join the current number of bets, or click ""Add"" to ""shopping cart"", you can add multiple bets to the ""shopping cart"" once.Bets can be viewed in Recent Bets.",,,,,,,,,"O botão de reset pode cancelar os lugares e os números de veículos selecionados. Depois de selecionar o lugar e o número, selecione o valor da aposta, 1~500 ou um valor personalizado.Clique em ""apostar"" para ""juntar-se ao atual período de licitação, ou clique em"" adicionar ""adicionar ao"" carrinho de compras "", pode ser adicionado várias vezes depois de várias licitações para ""carrinho de compras"" aposta única.As apostas podem ser visualizadas em apostas recentes.",
UI.650GameSupport3,"You Can also observe the ""Way figure""trend analysis bet And ""long dragon"" play to place bets.",,,,,,,,,"Você também pode observar a aposta de análise de tendências ""Way figure""E ""long dragon"" jogam para fazer apostas.",
UI.650GameSupport4,"Time of drawing Lingxian 00:01- 24:00 PM, one session per minute, 1440 sessions throughout the day.Rules of the lottery There are a total of 1~10 speedcars in the race, each stage according to the different race results (in order), the formation of different lottery results.",,,,,,,,,"Horário de abertura Nível de ling 00:01- 24:00 pm, uma emissão a cada minuto, 1440 emissão durante todo o dia.Regras de abertura Um total de 1 a 10 carros de corrida corrida em speedcar, cada fase de acordo com diferentes resultados de corrida (em ordem), para formar diferentes resultados de abertura.",
UI.650GameHisDetail_BetTime,Betting time,,,,,,,,,Tempo aposta,
UI.650GameHisDetail_PlayType,Play,,,,,,,,,Toque,
UI.650GameHisDetail_BetCountent,Betting content,,,,,,,,,Conteúdo apostas,
UI.650GameHisDetail_odds,odds,,,,,,,,,chances,
UI.650GameHisDetail_Betdetails,Bet details,,,,,,,,,Detalhes aposta,
UI.650GameHisDetail_Win,Win,,,,,,,,,Ganhar,
UI.650GameHisDetail_Loss,Lost,,,,,,,,,Perdido,
UI.650GameHelp1,"There are 1 to 10 numbers in the speed airship for the competition. Each period will have different results in different order. The lottery will be drawn every day from 00:01 to 24:00, every 1 minute, 1440 times a day.",,,,,,,,,"Existem 1 a 10 números no dirigível de velocidade para a competição. Cada período terá resultados diferentes em ordem diferente. A loteria será sorteada todos os dias das 00h01 às 24h00, a cada 1 minuto, 1440 vezes ao dia.",
UI.650GameHelp2,"In the option area, choose the size of the vehicle number or odd and even numbers in the ranking quiz.Small: 1~5 Large: 6~10 isSingle size 1, 3, 5, 7, 9, double size 2, 4, 6, 8, 10",,,,,,,,,"Na área de opções, escolha o tamanho do número do veículo ou números ímpares e pares no questionário de classificação. Pequeno: 1 a 5 Grande: 6 a 10 é tamanho único 1, 3, 5, 7, 9, tamanho duplo 2, 4 , 6, 8, 10",
UI.650GameHelp3,"Select the amount and click ""Bet"" to bet.Click ""Add"" to add multiple bets to the ""Shopping Cart"" for one-time betting.",,,,,,,,,"Selecione o valor e clique em Apostar"" para apostar. Clique em ""Adicionar"" para adicionar várias apostas ao ""carrinho de compras"" para apostas únicas.""",
UI.650GameHelp4,"The road map shows the lottery trend, and the long dragon shows the bet type with ≥2 consecutive lottery draws.",,,,,,,,,"O roteiro mostra a tendência da loteria, e o dragão longo mostra o tipo de aposta com ≥2 sorteios de loteria consecutivos.",
UI.770GameHelp1,"Lucky Airship has a total of 1 to 10 numbers for the competition, and each phase will produce different results in different order. The lottery will be drawn from 03:03 on the same day to 18:08 on the next day, every 5 minutes, with a total of 180 draws.",,,,,,,,,"Lucky Airship tem um total de 1 a 10 números para a competição, e cada fase produzirá resultados diferentes em ordem diferente. A loteria será sorteada das 03h03 do mesmo dia às 18h08 do dia seguinte, a cada 5 minutos, totalizando 180 sorteios.",
UI.770GameHelp2,"Choose the size of the ranking quiz number or odd or even number.Small: 1~5 Large: 6~10 Single: 1, 3, 5, 7, 9, Double: 2, 4, 6, 8, 10",,,,,,,,,"Escolha o tamanho do número do questionário de classificação ou número ímpar ou par. Pequeno: 1~5 Grande: 6~10 Simples: 1, 3, 5, 7, 9, Duplo: 2, 4, 6, 8, 10",
UI.780GameHelp1,"There are a total of 1~10 numbers for fast airship competitions, and each phase will have different results in different order. Draws are drawn every day from 00:01 to 24:00, every 3 minutes, with 480 draws throughout the day.",,,,,,,,,"Escolha o tamanho do número do questionário de classificação ou número ímpar ou par. Pequeno: 1~5 Grande: 6~10 Simples: 1, 3, 5, 7, 9, Duplo: 2, 4, 6, 8, 10",
UI.780GameHelp2,"Select Place Pick Numbers Big or Small, Odd or Even or Numbers.Small: 1~5 Large: 6~10 Single: 1, 3, 5, 7, 9, Double: 2, 4, 6, 8, 10",,,,,,,,,"Selecione Place Pick Numbers Grande ou Pequeno, Ímpar ou Par ou Números. Pequeno: 1~5 Grande: 6~10 Simples: 1, 3, 5, 7, 9, Duplo: 2, 4, 6, 8, 10",
UI_Welcome,Welcome!,,,,,,,,,Bem vinda!,
UI_Support_1,You can always ask us anything about our platform or share your feedback,,,,,,,,,Você sempre pode nos perguntar qualquer coisa sobre nossa plataforma ou compartilhar seus comentários,
UI.AccountInfoVipCurrent,Current,,,,,,,,,Atual,
UI_BonttomSignUp_V,Sign Up,,,,,,,,,Inscreva-se,
UI_UIStore_Extra,Extra,,,,,,,,,Extra,
UI_UIStore_NoPartPromotions,Not participating in and promoting sales activities,,,,,,,,,Não participar e promover atividades de vendas,
UI_Biggest_Today,Biggest Today,,,,,,,,,Maior hoje,
UI_Latest_Rounds,Latest Record,,,,,,,,,Último registro,
UI_Biggest,Winning Ranking,,,,,,,,,O maior,
UI_WorldCup_NOTickets,You don't have enough tickets!,,,,,,,,,Você não tem ingressos suficientes!,
UI_WorldCup_Recebido,Received,,,,,,,,,Recebido,
UI_WorldCup_Apostar_tit,"1 ticket for every 1000 BRL retired, up to 5 tickets",,,,,,,,,"1 bilhete para cada 1000 BRL apostados, até 5 bilhetes",
UI_WorldCup_Apostar,Go to bet,,,,,,,,,Ir Apostar,
UI_WorldCup_Prom_tit,"Each shared user can get   one ticket, up to 3 tickets (    Recharge users are valid users)",,,,,,,,,"Cada usuário compartilhado pode obter um ticket, até 3 tickets (usuários que recarregaram são usuários válidos)",
UI_WorldCup_Prom,Go to promotion,,,,,,,,,Ir para a promoção,
UI_WorldCup_Deposito_tit,Complete a deposit of any amount on the platform to receive 2 ticket.,,,,,,,,,Tompletar um depósito de qualquer quantia na plataforma para receber 2 ingresso.,
UI_WorldCup_Deposito,Go to Deposit,,,,,,,,,Ir para Depósito,
UI_WorldCup_Registrar_tit,Registered mobile phone users get 1 free prediction event ticket,,,,,,,,,Os usuários de celular registrados recebem 1 ingresso gratuito para o evento de previsão,
UI_WorldCup_Registrar,Go to register,,,,,,,,,Ir para registrar,
