none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
UI_Game1054_FortuneOxRules1,"Fortune Ox é uma slot de vídeo de 3 cilindros, 3 linhas (para o cilindro 1 e 3) e 4 linhas (para o cilindro 2) com novas rodadas até haver ganhos e multiplicador x10.",,,,,,,,,"Fortune Ox é uma slot de vídeo de 3 cilindros, 3 linhas (para o cilindro 1 e 3) e 4 linhas (para o cilindro 2) com novas rodadas até haver ganhos e multiplicador x10.","Fortune Ox es una vídeo tragaperras de 3 carretes, 3 filas (para los carretes 1 y 3) y 4 filas (para el carrete 2) con la función Regirar hasta ganar y un multiplicador x10."
UI_Game1054_FortuneOxRules2,"O jogo é jogado com 10 linhas de aposta (fixas), um valor de aposta entre 1 e 10 e valores de aposta entre %{minChip} e %{maxChip}.",,,,,,,,,"O jogo é jogado com 10 linhas de aposta (fixas), um valor de aposta entre 1 e 10 e valores de aposta entre %{minChip} e %{maxChip}.","Se juega con 10 líneas de apuesta (fijas), un nivel de apuesta entre %{minBetMtp} y %{maxBetMtp} y un tamaño de apuesta entre %{minChip} y %{maxChip}."
UI_Game1054_FDRules11,"Time",,,,,,,,,"Tempo","Tiempo"
UI_Game1054_FDRules11,"Time",,,,,,,,,"Tempo","Tiempo"
UI_Game1054_FDRules11,"Time",,,,,,,,,"Tempo","Tiempo"
UI_Game1054_FDRules11,"Time",,,,,,,,,"Tempo","Tiempo"
UI.UIGameProgressViewOther1,"When withdrawing money, you must consume the corresponding amount of withdrawal coupons.",,,,,,,,,"Ao sacar dinheiro, você deve consumir a quantidade correspondente de cupons de saque.","Al retirar dinero, debes consumir la cantidad correspondiente de cupones de retiro."
UI.UIGameProgressViewOther2,"Get a <color=#F5CC06>$100</c> withdrawal coupon for every <color=#F5CC06>$200</c> you wager",,,,,,,,,"Receba um cupom de saque de <color=#F5CC06>$ 100</c> para cada <color=#F5CC06>$ 200</c> apostado","Obtenga un cupón de retiro de <color=#F5CC06>$100</c> por cada <color=#F5CC06>$200</c> que apueste"
UI.UIGameProgressViewOther3,"Bet and win withdrawal coupons",,,,,,,,,"Aposte e ganhe cupons de saque","Apuesta y gana cupones de retiro"
UI.UIWithdrawalCoupon1,"Withdrawal coupon",,,,,,,,,"Cupom de saque","Cupón de retiro"
UI.UIWithdrawalCoupon2,"Record",,,,,,,,,"Registro","Registro"
UI.UIWithdrawalCoupon3,"coupon balance",,,,,,,,,"saldo de cupom","saldo del cupón"
UI.UIWithdrawalCoupon4,"Coupon",,,,,,,,,"Cupom","Cupón"
UI.UIWithdrawalCoupon5,"Betting games",,,,,,,,,"apostas em jogos","Apuestas de juegos"
UI.UIWithdrawalCoupon6,"More coupon",,,,,,,,,"Mais cupom","Más cupón"
UI.UIWithdrawalCoupon7,"See rules",,,,,,,,,"Ver regras","Ver reglas"
UI.UIWithdrawalCoupon8,"Roulette Lottery",,,,,,,,,"loteria roleta","Lotería de ruleta"
UI.UIWithdrawalCoupon9,"random coupon",,,,,,,,,"cupom aleatório","cupón aleatorio"
UI.UIWithdrawalCoupon10,"spin",,,,,,,,,"rodar","girar"
UI.UIWithdrawalCouponDes1,"What is a withdrawal coupon?",,,,,,,,,"O que é um cupom de saque?","¿Qué es un cupón de retiro?"
UI.UIWithdrawalCouponDes2,"<color=#F5CC06>Purpose: </c>When withdrawing money, you must use the ""withdrawal coupon"" of the corresponding amount",,,,,,,,,"<color=#F5CC06>Objetivo: </c>Ao sacar dinheiro, você deve utilizar o ""cupom de saque"" do valor correspondente","<color=#F5CC06>Propósito: </c>Al retirar dinero, debe utilizar el ""cupón de retiro"" del monto correspondiente"
UI.UIWithdrawalCouponDes3,"<color=#F5CC06>How to get it:</c> You can get it through tasks, game bets and carousel draws.",,,,,,,,,"<color=#F5CC06>Como obtê-lo:</c> Você pode obtê-lo por meio de tarefas, apostas em jogos e sorteios de carrossel.","<color=#F5CC06>Cómo conseguirlo:</c> Puedes conseguirlo a través de tareas, apuestas de juegos y sorteos en carrusel."
UI.UIShare1,"Valid users: register an account and deposit once",,,,,,,,,"Usuários válidos: registre uma conta e deposite uma vez","Usuarios válidos: registre una cuenta y deposite una vez"

